,incident_id,state,n_killed,n_injured,source_url,latitude,longitude
226612,1020918,California,4,0,http://homicide.latimes.com/post/sean-birnkrant/,34.4738,-118.533
226881,1022973,California,4,0,http://www.chicoer.com/general-news/20180205/shasta-sheriff-says-woman-was-responsible-for-four-deaths,40.6349,-122.231
226949,1022547,Texas,4,0,http://www.wfaa.com/news/crime/neighbors-of-family-killed-in-murder-suicide-say-they-saw-no-signs-of-trouble/506510131,29.2712,-94.8192
228478,1030296,Alabama,4,0,http://www.wvtm13.com/article/calhoun-county-man-fatally-shoots-12-year-old-son-teen-daughter-and-her-fiancee-before-killing-self/15395101,33.7456,-85.6606
230198,1037529,Pennsylvania,5,0,http://abcnews.go.com/US/suspected-gunman-quadruple-homicide-rural-pennsylvania-car-wash/story?id=52689286,40.0521,-79.3889
230200,1038429,Pennsylvania,4,0,http://www.post-gazette.com/news/state/2018/01/30/Authorities-have-identified-the-four-men-killed-in-a-shooting-at-a-Reading-row-home/stories/201801300136,40.3331,-75.9318
232157,1046961,Kentucky,5,0,http://www.lex18.com/story/37476907/breaking-5-dead-in-johnson-county-murders-suicide,37.8982,-82.886
232234,1047761,Michigan,4,3,http://www.wzzm13.com/news/local/detroit/officer-shot-2-killed-on-detroits-east-side/517705378,42.4216,-83.0539
232745,1049217,Florida,17,17,http://www.orlandosentinel.com/news/fl-florida-school-shooting-wounded-list-20180307-story.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+orlandosentinel%2Fnews%2Flocal%2Fstate+%28OrlandoSentinel.com+-+State+News%29&utm_content=Yahoo+Sear,26.3045,-80.2694
233036,1051839,Michigan,4,0,https://www.usatoday.com/story/news/nation-now/2018/02/20/did-shunning-jehovahs-witnesses-drive-mom-murder-suicide/355626002/,42.6045,-83.3438
233699,1054212,Arizona,4,0,https://www.azcentral.com/story/news/local/phoenix-breaking/2018/02/22/suspect-fatal-triple-shooting-has-died-police-unsure-if-wound-self-inflicted/363146002/,33.475,-112.137
234555,1057518,Michigan,5,0,http://www.fox2detroit.com/news/local-news/gas-station-triple-murder-suspect-spotted-in-van-buren-twp-after-carjacking,42.4005,-83.2571
236201,1065908,California,4,0,http://www.pressdemocrat.com/home/8118556-181/coroner-yountville-killer-shot-himself,38.3943,-122.364
236877,1068526,Washington,4,0,http://www.unionleader.com/crime/nh-woman-two-children-slain-in-washington-state-father-kills-himself-20180313,47.0663,-122.354
237046,1069080,New York,4,0,http://auburnpub.com/news/state-and-regional/people-including-young-child-shot-to-death-in-brooklyn/article_f7a0947b-9eb8-5b18-9e24-3a9f38286e15.html,40.6615,-73.9076
9,492151,Maryland,1,6,http://www.abc2news.com/news/crime-checker/baltimore-city-crime/mother-of-murdered-15-yo-speaks-out,39.2899,-76.6412
26,480443,Georgia,0,8,http://www.macon.com/news/local/crime/article30130797.html,32.826,-83.6704
34,482771,District of Columbia,0,13,https://www.washingtonpost.com/local/police-seek-two-men-in-connection-with-shooting-that-injured-13/2013/03/14/4fa6145a-8cda-11e2-9838-d62f083ba93f_story.html,38.9062,-77.0099
38,482926,California,0,7,http://fox40.com/2013/03/16/mass-casualty-incident-declared-in-galt-after-reported-shooting/,38.2436,-121.312
41,483737,Illinois,0,7,http://www.dnainfo.com/chicago/20130321/auburn-gresham/shooting-at-record-release-party-leaves-seven-wounded,41.7358,-87.6631
73,486209,Louisiana,0,19,http://www.nola.com/crime/index.ssf/2015/09/mothers_day_shooting_suspects_4.html,29.9861,-90.0595
93,487271,Virginia,0,7,http://articles.dailypress.com/2013-06-02/news/dp-nws-virginia-beach-shooting_1_virginia-beach-shooting-sentara-leigh,36.8459,-76.1171
94,487435,Georgia,0,7,https://www.facebook.com/permalink.php?id=313979908643128&story_fbid=540014446039672,33.0354,-85.0244
97,487659,Missouri,0,6,http://fox2now.com/2013/06/12/man-charged-with-shooting-6-people-monday-night/,38.6647,-90.2506
105,488505,Virginia,0,6,http://www.13newsnow.com/story/news/2014/09/09/14816936/,36.8571,-76.2735
111,489105,Missouri,1,8,http://fox4kc.com/2013/06/23/prospect-shooting-spree-puts-nine-in-hospital-two-critically-hurt/,39.0891,-94.5518
117,490115,Illinois,0,6,http://www.huffingtonpost.com/2013/06/29/uptown-driveby-shooting-6_n_3521906.html?utm_hp_ref=chicago,41.9691,-87.6548
119,490226,New York,0,9,http://www.wptv.com/news/national/brooklyn-shooting-tyrone-brown-arrested-in-connection-with-crime-in-east-flatbush-neighborhood,40.6452,-73.928
125,490351,Michigan,1,6,http://www.theoaklandpress.com/article/OP/20130821/NEWS/308219897,42.6482,-83.2871
193,480071,Washington,0,6,http://www.kapptv.com/article/2013/sep/15/six-people-injured-shooting-outside-yakima-hookah-/,46.5854,-120.538
200,480521,Illinois,0,12,http://www.nydailynews.com/news/national/chicago-toddler-smiling-shot-face-article-1.1472401,41.803,-87.6699
206,480646,Kansas,1,6,http://www.kake.com/home/headlines/224750592.html,37.6861,-97.3288
207,480691,West Virginia,0,6,http://www.wvnstv.com/story/23520830/update-suspect-in-huntington-wv-shooting-which-injured-6-apprehended-in-ny,38.4136,-82.4609
213,480765,California,1,12,http://sanfrancisco.cbslocal.com/2013/10/06/gunfight-fresno-motorcycle-club/,36.7054,-119.76
221,481043,Pennsylvania,0,8,http://www.pennlive.com/midstate/index.ssf/2013/10/police_confirm_eight_people_sh.html,40.2692,-76.8681
231,492570,California,1,6,http://www.dailyrepublic.com/news/crimecourts/police-1-dead-after-8-shot-while-changing-flat-tire/,38.1517,-122.25
238,493035,Michigan,3,7,http://www.usatoday.com/story/news/nation/2013/11/07/detroit-barber-shop-shooting/3463983/,42.4334,-83.0523
239,493842,Texas,2,16,http://www.dailymail.co.uk/news/article-2500592/Teen-killed-Texas-party-shootings-Queric-Richardson-pictured.html,29.884,-95.7187
249,495145,California,0,7,http://abc7news.com/archive/9339708/,37.7488,-122.165
271,496634,Louisiana,2,6,http://www.nola.com/crime/index.ssf/2013/12/arrest_made_in_old_towne_bar_s.html,30.2743,-89.7826
276,496684,New York,0,6,http://www.nydailynews.com/new-york/brooklyn/5-shot-1-pistol-whipped-brooklyn-party-article-1.1562264,40.6712,-73.9088
1803,95500,Louisiana,0,6,http://www.myarklamiss.com/crime/update-3-new-arrests-brings-total-to-8-in-madison-parish-club-shooting,32.3986,-91.1579
6288,107447,Florida,0,6,http://www.nbcmiami.com/news/local/Correctioons-Officers-Gun-Goes-Off-at-Shooters-Restaurant-in-Fort-Lauderdale-245951931.html,26.1661,-80.1036
6372,107519,Texas,1,7,http://www.nbcdfw.com/news/local/One-Dead-Six-Injured-In-Dallas-Nightclub-Shooting-245753181.html,32.7673,-96.779
6412,107417,Florida,1,6,"http://www.orlandosentinel.com/news/local/breakingnews/os-orange-county-killing-20140216,0,6228293.story",28.5979,-81.2734
6831,108626,Florida,0,12,http://tbo.com/pinellas-county/teens-arrested-in-st-pete-pellet-gun-shootings-20140220/,27.7753,-82.6384
8538,113214,Illinois,0,6,http://www.suntimes.com/news/metro/26090624-418/orr-star-among-6-shot-at-party.html#.U77pEbFAG70,41.8907,-87.7483
8599,113247,Texas,0,6,"http://www.chicagotribune.com/news/local/breaking/chi-developing-6-shot-after-s-austin-party-police-say-20140309,0,6563032.story",30.3031,-97.6572
10349,117914,California,0,7,http://sanfrancisco.cbslocal.com/2014/03/24/no-arrests-after-7-injured-in-sf-tenderloin-drive-by-shooting/,37.7832,-122.411
13919,127045,Illinois,0,6,http://wgntv.com/2014/04/21/6-shot-at-easter-party-in-montgomery/,41.7289,-88.3104
15095,130232,Georgia,1,6,http://www.11alive.com/story/news/local/investigations/2014/11/11/fedex-shooting-facility-/18873933/,34.0105,-84.5977
16529,156823,California,1,6,http://www.sacbee.com/2014/05/10/6395499/one-dead-six-injured-in-shooting.html,38.6051,-121.505
16572,134162,California,1,6,http://sacramento.cbslocal.com/2014/05/10/1-dead-multiple-shot-near-sacramento-park/,38.6235,-121.525
16598,134238,Tennessee,0,7,http://www.wmcactionnews5.com/story/25488030/seven-people-shot-outside-of-a-memphis-nightclue,35.1688,-89.9749
17581,135904,Ohio,0,7,http://fox8.com/2014/05/18/1-badly-beaten-7-shot-during-incident-at-sports-bar/,41.4425,-82.6854
18244,140185,Louisiana,1,7,http://www.nola.com/crime/index.ssf/2014/05/graduation_party_explodes_into.html,30.0227,-90.0508
19829,142076,Illinois,0,7,http://www.dnainfo.com/chicago/20140603/south-shore-above-79th/south-shore-strip-mall-shooting-leaves-six-people-wounded,41.7519,-87.559
20921,156245,New Jersey,0,6,http://www.nj.com/passaic-county/index.ssf/2014/07/6_injured_in_shooting_on_paterson_street_corner.html#incart_river,40.9207,-74.1591
23099,150299,Florida,2,7,http://www.miamiherald.com/news/local/community/miami-dade/article1981339.html,25.8343,-80.2167
23622,152960,California,0,7,http://www.latimes.com/local/lanow/la-me-ln-antioch-shooting-seven-people-injured-20140630-story.html,37.9565,-121.757
23794,152468,Louisiana,1,9,http://www.ksla.com/story/31635795/bourbon-street-shooter-trung-le-sentenced-to-60-years-in-prison,29.9586,-90.0655
24762,154834,Virginia,0,7,http://wtkr.com/2014/07/05/4-different-shootings-leaves-14-people-shot-in-norfolk/,36.8784,-76.2968
24811,154803,Texas,0,6,http://www.chron.com/houston/article/6-injured-when-gunfire-erupts-at-Caribbean-5601621.php,29.6121,-95.3957
24813,154721,Indiana,0,7,http://wishtv.com/2014/07/05/police-investigate-shooting-on-broad-ripple-avenue/,39.8686,-86.1313
27410,161302,New Jersey,0,6,http://www.nj.com/essex/index.ssf/2014/07/six_injured_after_fight_ends_in_gunfire_in_irvington_police_say.html#incart_river,40.7172,-74.2289
28162,163874,Illinois,1,6,http://chicago.cbslocal.com/2015/10/01/three-charged-in-2014-west-side-shooting-that-left-teen-dead-6-injured/,41.8727,-87.6963
28235,163930,Georgia,0,8,http://www.walb.com/story/26161692/sylvester-pd-issues-alert-for-wanted-teen,31.531,-83.8221
29525,168169,Massachusetts,0,7,http://bostonherald.com/news_opinion/local_coverage/2014/08/7_shot_after_argument_outside_new_bedford_bar,41.6872,-70.9263
29660,168551,Texas,0,7,http://www.chron.com/neighborhood/spring/news/article/7-injured-in-shooting-outside-Spring-club-5665606.php,30.0195,-95.3757
30692,171802,Minnesota,1,8,http://minnesota.cbslocal.com/2014/09/25/man-dies-6-weeks-after-shooting-at-400-soundbar/,44.9827,-93.2757
30838,172180,California,0,7,http://blog.pe.com/breaking-news/2014/08/10/moreno-valley-party-shooting-hospitalizes-7/,33.8836,-117.222
30861,172205,District of Columbia,0,6,http://www.washingtonpost.com/local/crime/six-injured-in-shooing-in-southwest-dc/2014/08/10/01dcb296-20a0-11e4-86ca-6f03cbd15c1a_story.html,38.8745,-77.0174
30917,172288,Georgia,0,6,http://www.wsbtv.com/ap/ap/georgia/dublin-ga-man-arrested-in-shooting-outside-club/ngzfL/,32.7177,-82.7167
31891,175788,Utah,0,6,http://www.ksl.com/index.php,40.764,-111.895
34871,185430,California,0,6,http://abc7.com/news/gunfire-erupts-again-in-south-la;-8-injured/294172/,34.0199,-118.26
36280,189562,Michigan,1,7,http://www.detroitnews.com/article/20140912/METRO01/309120040/1410/METRO01,42.3728,-83.2434
36832,190599,Alaska,0,6,http://www.adn.com/article/20140914/6-wounded-1-critically-morning-shooting-outside-downtown-bar,61.2178,-149.88
39222,197384,Florida,0,15,http://www.nbcmiami.com/news/local/Second-Arrest-Made-in-Mass-Shooting-at-Nightclub-278424801.html,25.8341,-80.2086
39297,198051,South Carolina,1,7,http://m.live5news.com/live5news/db/330614/content/tsIJVZW4,32.885,-80.6203
46581,224746,Texas,0,6,http://www.elpasotimes.com/news/ci_26951383/downtown-shooting-suspect-may-have-been-shot-by,31.7573,-106.493
47149,223582,Pennsylvania,0,6,http://pittsburgh.cbslocal.com/2014/11/21/police-6-shot-outside-of-clairton-speakeasy/,40.4591,-79.7423
47759,225036,California,0,6,http://abc7news.com/news/six-injured-two-critically-in-sf-shooting/412017/,37.77,-122.42
50790,266424,Illinois,1,8,http://chicago.suntimes.com/crime/7/71/223301/dad-says-man-killed-calumet-city-leaving-army-proud,41.6181,-87.5532
50902,268394,Florida,0,9,http://www.nbcmiami.com/news/local/3-People-Shot-in-Miami-286609351.html,25.8539,-80.2256
54985,283115,Massachusetts,0,6,http://www.bostonherald.com/news_opinion/local_coverage/2015/01/gunfire_erupts_at_jp_party_six_wounded,42.3243,-71.101
56068,287529,New York,0,6,http://www.syracuse.com/crime/index.ssf/2015/02/all_6_tipp_hill_shooting_victims_out_of_hospital.html,43.0468,-76.1758
56917,290510,Tennessee,0,6,http://www.wmcactionnews5.com/story/28054306/six-hit-in-early-morning-crockett-county-shooting,35.8471,-89.2348
62108,311348,New Mexico,1,6,http://www.abqjournal.com/581724/news/fatal-shooting-of-17-year-old-at-skate-park-was-self-defense-police-say.html,35.0873,-106.535
62745,314044,Florida,0,7,http://www.newsherald.com/news/crime-public-safety/update-7-shot-at-spring-break-party-1.457338?tc=cr,30.1437,-85.7557
67113,329322,New York,1,6,http://www.democratandchronicle.com/story/news/2015/04/27/gates-pub-shooting-victims-identified/26463371/,43.1386,-77.672
68233,333576,Ohio,1,6,http://www.whio.com/news/news/crime-law/multiple-people-shot-on-macarthur-ave-in-dayton/nk74C/#__federated=1,39.7317,-84.2512
68253,333584,Texas,0,6,http://www.khou.com/story/news/local/2015/05/03/mass-shooting-at-houston-nightclub-six-injured/26826747/,29.7406,-95.3753
70400,341962,Illinois,0,6,http://www.rrstar.com/article/20150516/NEWS/150519532/10448/NEWS,42.2864,-89.1118
71704,345749,Michigan,0,7,http://www.mlive.com/news/flint/index.ssf/2017/02/dna_match_ties_former_high_sch.html#incart_2box_news_flint,42.9944,-83.7044
74578,356065,Connecticut,1,8,http://www.ctpost.com/local/article/Trial-begins-in-gang-shooting-spree-case-8343116.php,41.2212,-73.1964
75905,361212,Michigan,1,11,http://www.detroitnews.com/story/news/local/detroit-city/2015/06/21/block-party-shooting/29069505/,42.3797,-83.1241
75984,361198,Pennsylvania,0,11,http://www.nbcphiladelphia.com/news/local/Shooters-Identified-in-Block-Party-Shotgun-Shooting-That-Hurt-10-Including-Children-310193121.html,39.9692,-75.2059
76230,361948,Pennsylvania,0,7,http://www.philly.com/philly/news/2-sentenced-to-100-years-for-Kensington-shooting-that-injured-7.html,39.9974,-75.1172
77161,365399,Delaware,0,6,http://www.wmdt.com/top-stories/update-two-charged-in-harrington-shooting-that-left-6-injured_20161101080024402/138029605,38.921,-75.5748
77205,367099,Illinois,0,6,http://thetelegraph.com/news/68559/alton-brothers-charged-in-shooting,38.6723,-90.1698
78221,369014,Louisiana,0,8,http://www.ksla.com/story/29538718/spd-third-person-sought-in-connection-with-shooting-that-injured-8,32.4801,-93.7804
78318,368732,Indiana,0,9,http://www.journalgazette.net/news/Shooting-results-in-9-victims--1-critical-7559271,41.0793,-85.1394
79802,375412,Ohio,0,7,http://fox8.com/2015/07/16/at-least-7-injured-in-overnight-drive-by-shooting-on-clevelands-east-side/,41.5376,-81.6019
80536,377047,Kentucky,0,6,http://www.whas11.com/story/news/local/2015/07/20/victim-celebrated-birthday-as-shots-rang-at-w-louisville-club-family-says/30445601/,38.2436,-85.8024
80759,377878,New York,0,6,http://nypost.com/2015/07/20/six-shot-at-nyc-park-party-in-the-bronx/,40.8211,-73.9257
81148,382230,Missouri,0,6,http://www.stltoday.com/news/local/crime-and-courts/st-louis-police-investigating-suspicious-death-multiple-shootings/article_a1ddbce7-5d61-5f55-b422-1216c9ca5f35.html,38.6302,-90.1935
81229,380162,Louisiana,3,9,http://www.theadvertiser.com/story/news/2015/07/24/update-shooting-investigation-leads-police-motel/30608859/,30.202,-92.0459
82830,386140,Maryland,0,7,http://www.baltimoresun.com/news/maryland/crime/blog/bal-7-shot-in-single-incident-in-w-baltimore-neighborhood-20150802-story.html,39.3501,-76.6638
82961,385779,New York,0,9,http://abc7ny.com/news/gunmen-sought-after-9-shot-in-brooklyn;-total-of-19-shot-over-weekend-in-nyc/898447/,40.6655,-73.8675
83892,390774,Arkansas,1,11,http://www.blythevillecourier.com/story/2248074.html,35.9194,-89.8967
85272,395844,Texas,0,6,http://www.star-telegram.com/news/local/community/fort-worth/article31246733.html,32.6336,-97.3723
85963,399212,North Carolina,0,8,http://www.wral.com/eight-injured-in-durham-drive-by-shooting-no-arrests-made/14846369/,36.0297,-78.8777
86343,400091,California,1,7,http://www.modbee.com/news/local/crime/article31965084.html,37.6454,-121.023
89470,412529,Minnesota,0,6,http://kstp.com/news/stories/S3912729.shtml?cat=127,44.9804,-93.2738
90865,417013,Oklahoma,0,6,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwi2wszo_v7JAhWIoD4KHU9BAZYQFggkMAI&url=http%3A%2F%2Fwww.fox23.com%2Fnews%2Fnews%2Flocal%2Fshots-ring-out-injure-six-north-tulsa-nightclub%2FnnjcS%2F&usg=AFQjCNGBBkK1D,36.1771,-95.9225
92038,421014,Georgia,0,10,http://news.blog.ajc.com/2015/10/28/2nd-suspect-arrested-in-west-georgia-club-shooting-that-wounded-10-people/,33.0312,-84.7298
93859,428215,Tennessee,0,6,http://wreg.com/2015/10/10/6-shot-1-stabbed-in-separate-incidents/,35.0697,-89.8568
95089,433146,Illinois,0,6,http://www.nwitimes.com/news/local/illinois/update-six-shot-in-drive-by-shooting-in-calumet-city/article_cc0067fe-4eea-5878-8de9-8f6fec2ca9db.html,41.6294,-87.5509
100149,451495,Louisiana,0,17,http://www.nola.com/crime/index.ssf/2017/02/another_guilty_plea_leaves_1_d.html#incart_river_index,29.9748,-90.0372
100823,454059,Colorado,3,9,http://www.businessinsider.com/ozy-licano-shot-during-the-planned-parenthood-rampage-in-colorado-springs-2015-11,38.8767,-104.847
105589,476321,Louisiana,0,6,http://www.nola.com/crime/index.ssf/2016/03/suspect_arrested_in_new_years.html#incart_river_index,29.9304,-90.0959
111091,500556,Florida,2,6,http://www.seattletimes.com/nation-world/police-2nd-victim-in-tampa-florida-club-shooting-dies/,28.0216,-82.4512
111213,501168,New York,1,7,http://www.whec.com/news/four-people-arrested-mexican-village-shooting/4280396/,43.1634,-77.622
111214,501233,Florida,2,10,http://www.orlandosentinel.com/news/breaking-news/os-glitz-shooting-bond-hearings-20161114-story.html,28.4541,-81.4646
115010,517073,California,1,8,http://ktla.com/2016/03/06/1-dead-10-injured-after-shooting-in-compton-sheriffs-department/#,33.8678,-118.239
115103,517058,Massachusetts,1,6,http://www.necn.com/news/new-england/Teen-Charged-in-Shooting-That-Killed-1-Injured-6-Court-371367231.html,42.397,-71.0318
116010,521176,Florida,0,6,http://www.ocala.com/article/20160312/ARTICLES/160319918/1001/NEWS01?Title=Man-s-shotgun-discharges-spraying-pellets-that-injure-six,29.3119,-81.7738
121707,543108,Texas,1,6,http://www.star-telegram.com/news/state/texas/article73650867.html,26.3058,-98.1924
124415,553570,Minnesota,1,7,http://www.startribune.com/hunt-on-for-suspects-in-north-side-gunfire-that-killed-1-wounded-others/378283121/,44.9952,-93.3057
124557,553803,Louisiana,2,6,http://www.shreveporttimes.com/story/news/crime/2016/05/05/two-killed-eight-injured-ambush-style-shooting/83966862/,32.5389,-93.7635
128321,567614,Texas,2,6,http://www.usatoday.com/story/news/nation-now/2016/05/31/police-212-rounds-fired-houston/85220390/,29.7727,-95.5745
128325,567673,New Jersey,0,6,http://www.trentonian.com/general-news/20160529/bloody-sunday-8-injured-in-two-trenton-shootings,40.2294,-74.7632
133756,595166,New York,0,7,http://abc7ny.com/news/7-people-shot-during-july-4-barbecue-in-brooklyn/1413599/,40.682,-73.9176
133947,595482,Arizona,2,6,http://www.azcentral.com/story/news/local/phoenix-breaking/2016/07/05/child-shot-two-killed-laveen-shooting/86701514/,33.3921,-112.146
135757,604233,California,1,14,http://bakersfieldnow.com/news/local/coroner-rules-homicide-for-man-found-dead-in-apartment-near-mass-injury-party-shooting,35.3481,-119.036
135865,604175,Tennessee,0,6,http://www.theleafchronicle.com/story/news/2016/07/16/5-shot-clarksville/87173430/,36.5377,-87.3377
137087,610584,Ohio,1,7,http://www.wcpo.com/news/crime/cornell-mckennelly-ii-pleads-guilty-in-fatal-shooting-at-doubles-bar-in-hamilton,39.427,-84.5975
137328,611479,Florida,2,19,,26.612,-81.86
138006,617334,Georgia,0,7,http://www.ajc.com/news/news/crime-law/georgia-man-indicted-in-shooting-that-injured-7/nsRGp/,33.9664,-83.358
139857,624273,Florida,0,7,http://www.news4jax.com/news/young-mother-still-hospitalized-after-eureka-gardens-mass-shooting,30.3022,-81.7334
142107,634787,Connecticut,0,13,http://www.courant.com/breaking-news/hc-bridgeport-shooting-follow-0823-20160822-story.html,41.1981,-73.1753
143125,640500,Alabama,1,6,http://www.mysanantonio.com/news/crime/article/3-charged-in-deadly-shooting-at-Love-Thy-9197093.php,33.4414,-86.951
143418,641419,Texas,0,6,http://www.kcbd.com/story/32860607/6-people-robbed-shot-in-central-lubbock,33.5809,-101.918
144774,647865,Virginia,1,10,http://www.wdbj7.com/content/news/Man-charged-with-murder-scheduled-to-be-in-court-Tuesday-398303751.html,37.2838,-79.9227
145877,652584,Missouri,0,6,http://www.kansascity.com/news/local/crime/article101478187.html,39.0529,-94.5917
146810,657634,District of Columbia,2,7,http://www.fox5dc.com/news/206145736-story,38.8583,-76.9966
146910,659289,Florida,0,6,http://www.miamiherald.com/news/local/crime/article103212767.html,25.5846,-80.3855
146927,657136,Florida,1,6,http://www.clickorlando.com/news/1-dead-6-injured-in-orlando-shooting,28.5269,-81.4243
147996,662342,Maryland,0,8,http://www.baltimoresun.com/news/maryland/bs-md-multiple-shooting-0925-20160924-story.html,39.3048,-76.6082
148309,663106,Texas,1,6,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=64142&menugroup=Home,29.7237,-95.4414
150357,672203,Michigan,1,8,http://www.mlive.com/news/grand-rapids/index.ssf/2017/03/gang_rivalry_motivates_shootin.html#incart_river_home,42.9125,-85.6209
151104,676376,Illinois,1,6,http://chicago.suntimes.com/news/one-killed-6-wounded-in-east-garfield-park-shooting/,41.8839,-87.7086
152574,682298,California,0,7,http://abc7news.com/news/oakland-shooting-leaves-7-victims-wounded/1569019/,37.7639,-122.175
153591,688429,Mississippi,0,6,http://www.msnewsnow.com/story/33608473/man-wanted-in-weekend-block-party-shooting-turns-himself-in,32.3339,-90.1861
154960,693374,California,0,8,http://www.eastbaytimes.com/2016/11/09/oakland-reputed-gang-members-charged-in-downtown-shootout-that-wounded-eight/,37.8041,-122.27
156907,703245,Tennessee,1,7,http://www.wmcactionnews5.com/story/33744655/man-arrested-in-birthday-party-mass-shooting,36.0293,-89.3647
158699,711597,Louisiana,1,9,http://www.nola.com/crime/index.ssf/2017/04/lafayette_men_indicted_in_nove.html#incart_river_index,29.9542,-90.0692
158728,711744,Missouri,0,7,http://fox4kc.com/2016/11/27/groups-open-fire-on-each-other-leaving-seven-people-shot-in-kansas-city/,38.998,-94.5569
159672,717616,New Jersey,0,6,http://www.nj.com/essex/index.ssf/2016/12/at_least_30_shots_fired_in_attack_that_wounded_6_a.html,40.7701,-74.1891
159747,717873,California,0,6,http://www.latimes.com/local/lanow/la-me-ln-wake-shooting-20161203-story.html,33.9545,-118.309
163204,732927,North Carolina,0,7,http://wncn.com/2016/12/26/teen-who-was-1-of-7-injured-in-nc-moose-lodge-christmas-party-shooting-speaks-out/,36.3893,-80.0078
164496,739766,Florida,0,7,http://wsvn.com/news/local/7-injured-in-nw-miami-dade-drive-by-shooting/,25.8688,-80.2221
167250,752222,Florida,0,8,http://www.miamiherald.com/news/local/community/miami-dade/article128394004.html,25.8297,-80.2489
168105,756801,Georgia,0,6,http://www.walb.com/story/34315312/6-shot-at-bar-in-clayton-county,33.5741,-84.3716
168656,760259,Illinois,0,6,http://chicago.suntimes.com/news/at-least-5-wounded-in-chatham-shooting/,41.7587,-87.6123
168924,761973,Tennessee,0,10,http://www.wsmv.com/story/34386769/suspect-in-tennessee-armory-shooting-arrested-in-detroit,35.6059,-89.2319
171593,773002,Missouri,1,6,http://www.kait8.com/story/34484338/in-custody-2nd-man-in-connection-to-caruthersville-mo-nightclub-shooting,36.1927,-89.6665
174240,785262,Ohio,0,6,http://www.wlwt.com/article/cpd-responds-to-shooting-in-northside/8993094,39.1778,-84.5462
177478,799987,Texas,0,7,http://www.star-telegram.com/news/local/community/arlington/article140000223.html,32.6681,-97.1819
177812,802240,Missouri,1,6,http://www.stltoday.com/news/local/crime-and-courts/teenager-dead-six-critically-wounded-in-north-st-louis-shooting/article_e8ed5866-7fe7-5ea6-b369-e63d8d97549e.html,38.6765,-90.2545
178245,803054,Ohio,2,15,https://www.cincinnati.com/story/news/2017/11/20/3rd-alleged-gunman-cameo-shootout-still-unidentified/880826001/,39.0943,-84.4286
179738,811089,Texas,0,7,http://www.kcbd.com/story/35186865/west-texas-man-indicted-in-motel-shooting-that-wounded-7,33.5453,-101.853
182049,821400,Alabama,0,6,http://www.wbrc.com/story/35209978/17-year-old-charged-in-shooting-at-carnival-in-center-point,33.624,-86.6856
182323,821371,Ohio,0,9,http://www.dispatch.com/news/20170416/police-identify-9-shot-at-south-linden-party-hall,40.0008,-82.9753
184787,832679,California,2,6,http://www.sandiegouniontribune.com/news/public-safety/sd-me-selis-lawsuit-20171020-story.html,32.8716,-117.203
185933,838272,Illinois,2,8,http://homicides.suntimes.com/victims/michael-a-williams/,41.8102,-87.6356
187231,843078,Arkansas,1,6,http://www.kait8.com/story/35424337/second-suspect-in-the-basement-shooting-extradited-back-to-craighead-co,35.8391,-90.705
188392,848292,Pennsylvania,0,10,http://www.bradfordera.com/news/state/charged-with-attempted-murder-in-gunfire-that-injured/article_842d7f3c-47be-5474-973c-bff7729456e4.html,39.9934,-75.1628
189585,853119,District of Columbia,1,7,http://wjla.com/news/local/police-1-dead-7-injured-in-nw-dc-shooting-over-memorial-day-weekend-2-suspects-wanted,38.9111,-77.0122
189725,853901,Alabama,0,12,http://www.wtvm.com/story/35535373/12-people-shot-at-phenix-city-party-sunday-morning,32.4359,-84.9952
191828,863075,Louisiana,0,6,http://www.theadvocate.com/new_orleans/news/crime_police/article_f2e9a6ba-4d18-11e7-99b7-e396edf9f1fd.html,29.9962,-90.0499
192357,864743,Illinois,0,9,http://chicago.suntimes.com/news/8-wounded-in-lawndale-shooting/,41.8633,-87.7082
193575,869968,South Carolina,0,7,http://wpde.com/news/local/digging-deeper-to-the-man-behind-the-fathers-day-shooting-on-ocean-boulevard,33.6859,-78.8858
194323,873847,Georgia,1,6,http://www.wtvm.com/story/35732659/1-dead-several-others-shot-at-sw-atlanta-home,33.7044,-84.4239
195681,879412,New York,2,6,http://nypost.com/2017/07/02/doctor-shot-in-wrist-at-bronx-hospital-can-move-his-fingers/,40.8435,-73.911
195845,879953,Arkansas,0,25,http://www.fox16.com/news/local-news/first-arrest-made-in-little-rock-mass-shooting/768437028,34.7434,-92.2727
197098,886220,Ohio,1,8,http://www.wlwt.com/article/family-searches-world-to-treat-daughter-s-brain-tumor/12003504,39.2542,-84.5966
197428,886564,Virginia,0,7,http://wric.com/2017/07/09/7-injured-in-brunswick-county-shooting/,36.8119,-77.7709
200360,898631,North Carolina,1,6,http://www.wfmynews2.com/news/local/man-shot-after-memorial-service-in-high-point-dies/462218769,35.9534,-79.9812
201340,904026,California,0,7,http://abc30.com/drive-by-shooting-in-southwest-fresno-leaves-7-injured/2268771/,36.7278,-119.801
201379,904106,Washington,0,6,http://www.nbcrightnow.com/story/36024336/18-year-old-injures-six-others-with-birdshot-loaded-shotgun,46.3607,-120.523
202242,907857,California,0,7,https://patch.com/california/rockridge/7-injured-oakland-shooting,37.7358,-122.172
